epoch,lr,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1
1,0.0003,1.1767273514900567,0.7455160478288232,0.6926962450125688,0.8793598946772123,0.895007342143906,0.8584347714900439
2,0.0003,0.6134259231435428,0.9361233480176211,0.9219288263249663,0.6492513447825672,0.9720998531571219,0.9643956408605838
3,0.0003,0.48776138724770934,0.9790748898678414,0.9759063620041349,0.5995695868082214,0.9849486049926579,0.982485268901397
4,0.0003,0.4643384483625304,0.9836375078665828,0.9809050020767694,0.5885688707406758,0.9908223201174743,0.9884354757670121
5,0.0003,0.4519785594640288,0.9889081183134046,0.9868144905735102,0.5883824407008656,0.9900881057268722,0.986148229709897
6,0.0003,0.44214006152542884,0.9906387665198237,0.9891961581213418,0.5986183796361176,0.9860499265785609,0.9798203969719104
7,0.0003,0.43280870046630593,0.9917400881057269,0.9901609520908068,0.5815712282793564,0.9926578560939795,0.9910529677637696
8,0.0003,0.43624542953458223,0.9910320956576463,0.9899254362746394,0.5863286016280191,0.9886196769456681,0.9853649093823966
9,0.0003,0.43176900064045526,0.9922120830711139,0.9908795979316988,0.5705532255141359,0.9944933920704846,0.9929263720615648
10,0.0003,0.42846731371099844,0.9932347388294525,0.9918020012550309,0.5893345122274599,0.9886196769456681,0.9868833095609524
11,0.0003,0.42827107120984753,0.993313404657017,0.9915787568045257,0.5849003453265157,0.9908223201174743,0.9856949064667395
12,0.00015,0.431389371029236,0.9929200755191945,0.9910583971866578,0.5798584976130061,0.9922907488986784,0.9908262448389044
13,0.00015,0.40918377568511843,0.9978760226557584,0.9977150374824347,0.563090337908756,0.9959618208516887,0.9938032003380781
14,0.00015,0.4096403454647124,0.9977973568281938,0.9973251422088882,0.56248355504365,0.9963289280469897,0.9950158326103645
15,0.00015,0.4117603190102667,0.9980333543108874,0.9975973207826266,0.5615944207498902,0.9977973568281938,0.9970231748153541
16,0.00015,0.4094598319732918,0.9981906859660163,0.9977848352908865,0.5579849762177607,0.9977973568281938,0.997255678820444
17,0.00015,0.40913915804722023,0.9981120201384519,0.9975946239130105,0.5638460252020094,0.9959618208516887,0.9951671887901963
18,0.00015,0.40649122179679154,0.9985840151038389,0.9981812857874047,0.5671718651701135,0.9948604992657856,0.9940076493636223
19,7.5e-05,0.40824476144973587,0.9983480176211453,0.9980325719090913,0.5767326056521539,0.9930249632892805,0.991214865206666
20,7.5e-05,0.4054032793772296,0.9992133417243549,0.9989821207545804,0.5605134807134929,0.9974302496328928,0.9965561351034726
